Virtual address: 111011010000010, Physical address: 10000010, Value: 114129937301339306968243061063077498628818620140169266053076554854604742927774493009722602085580313786418405313381720940689517269567648094582962312583402441420808526911839106500069922005843245981818350311315904348287795004082481967804133257794274852600177059847717145521945902271252317525033724456678603820582202377679748253259060998043406333201089375400061625570054788452127993432749274481678838772819119698900041290208003844328224386104472119542613651069664949713458146106259000051636908041549300977706999614633200337182017711401124747887850443370259302064833816469556242885027865948577095041972004869166349183
Virtual address: 1111101011011011, Physical address: 111011011, Value: 0
Virtual address: 101010001000101, Physical address: 1001000101, Value: 80902234036392930178671513124860542344097677372323678189086171335759140846597153990111082218748548806552737089374650438867213644038278863948131767048699919719602894226340112789765342546706595279193758956632715222511154034916310740134592406354866914384878368479546361099385698553322645464326926596293202077385744883758650677094690030776828081203181001717788676339489904769677086279333904703574965703376292626694881005274861515920539894367599867453940475582763320951905728505443955417834569911934712439974699968790104347301805335083822233483870620018711346849551892645250814283594539690496829802973778073693989439
Virtual address: 10110101011011, Physical address: 1101011011, Value: 43340482519497025981764545890354417848326176852150404951531824749238025450483640315767624977982205785835025183975353349850696502135513646708758106879036199535631309451428206856377557071160816224052916555686501428154951200206725874073372313423362288576279847802483735230404598698271711830484459449770574019859314673239149069256705459084174405031632405381306211991894818867776060801560008432674935277049618545071656335350439753372722642838961669440657755467135392786672560782783470179623231156718221049494709064793561054393739170551219391114154297969135397475754935278644677603713388268319138663236652130986104511
Virtual address: 1010110010010001, Physical address: 10010010001, Value: 0
Virtual address: 1011100010, Physical address: 10111100010, Value: 2407804584418156023596696980956718077293131413500043090094395776747066364975324132188216446377857622232390415270991137460902180831218217665850913104402658309508428606972924749480611360630159561399434452091268447125755803407819289263068365998004683528448126551838566014207246292126463639758693969585658828965127905365333214561465861726795398947252524758216346997720686795191609960396147111822338017591063456123270477099467319827024355916727735708234278418053676196354365187576531137982669692700249662433180515566558748019564504073382960326642921376648785978668507379137990196150595051843449600702604629317255551
Virtual address: 1011111010001110, Physical address: 11010001110, Value: 0
Virtual address: 1101010110111101, Physical address: 11110111101, Value: 0
Virtual address: 1110100000111010, Physical address: 100000111010, Value: 0
Virtual address: 1101111010100110, Physical address: 100110100110, Value: 0
Virtual address: 1011111001000101, Physical address: 101001000101, Value: 0
